cab_id,entropy,total_records,unique_locations,most_frequent_location,location_diversity,entropy_quartile,segment
asigno,11.207688180041275,27255,5049,37.755_-122.469,0.1852504127682994,Q4 (High),High Mobility (Explorer)
askmecle,11.019304247593983,22725,4757,37.698_-122.485,0.20932893289328933,Q4 (High),High Mobility (Explorer)
aslagni,10.406790535727977,22923,4270,37.616_-122.386,0.18627579287178817,Q1 (Low),Low Mobility (Routine)
aswift,10.511249246607667,24081,3816,37.783_-122.420,0.15846518001744114,Q2,Low Mobility (Routine)
atcilav,10.594117594077119,22811,3784,37.616_-122.386,0.16588488010170532,Q2,Medium Mobility
atfrav,9.979998307719512,11653,2836,37.751_-122.395,0.24337080580108128,Q1 (Low),Low Mobility (Routine)
atfrim,10.959859671071474,22871,4656,37.616_-122.386,0.203576581697346,Q4 (High),High Mobility (Explorer)
atidfi,10.857094031269805,24544,4145,37.751_-122.395,0.1688803780964798,Q3,High Mobility (Explorer)
atnokvo,10.49317534597752,20332,3971,37.616_-122.386,0.19530788904190438,Q2,Low Mobility (Routine)
atsfiv,10.513932637698755,4377,2122,37.616_-122.386,0.48480694539639024,Q2,Low Mobility (Routine)
atzumbon,10.140181025112811,25640,3944,37.752_-122.395,0.15382215288611545,Q1 (Low),Low Mobility (Routine)
aucjun,7.14262552238803,11262,2060,37.752_-122.395,0.1829160007103534,Q1 (Low),Low Mobility (Routine)
auctjir,10.930474821732247,23332,4465,37.616_-122.386,0.19136807817589577,Q4 (High),High Mobility (Explorer)
aupclik,10.03346157164517,5708,2068,37.616_-122.386,0.36229852838121934,Q1 (Low),Low Mobility (Routine)
aurjyen,10.71666504903855,14088,3385,37.950_-122.336,0.24027541169789893,Q3,Medium Mobility
avdyab,10.790317952266378,22055,4087,37.751_-122.395,0.1853094536386307,Q3,Medium Mobility
avglybic,9.943775559986861,18224,3394,37.616_-122.386,0.1862379280070237,Q1 (Low),Low Mobility (Routine)
aviltly,10.810055091992822,20473,3978,37.752_-122.394,0.19430469398720265,Q3,Medium Mobility
avpavi,10.081934445860004,24084,3992,37.751_-122.395,0.16575319714333167,Q1 (Low),Low Mobility (Routine)
awnbeb,10.42294113816066,22445,4107,37.696_-122.483,0.1829806192916017,Q1 (Low),Low Mobility (Routine)
awrenba,10.894715611129538,25286,3963,37.751_-122.395,0.15672704263228665,Q4 (High),High Mobility (Explorer)
awribig,10.776354700161964,18644,3680,37.751_-122.395,0.19738253593649432,Q3,Medium Mobility
aydwaho,10.742576648256161,25240,3990,37.752_-122.394,0.1580824088748019,Q3,Medium Mobility
ayfsdu,10.409474899137317,24693,3789,37.752_-122.394,0.15344429595431905,Q1 (Low),Low Mobility (Routine)
aygpha,10.521426941915172,18983,3579,37.751_-122.395,0.18853711215297897,Q2,Medium Mobility
aypudby,10.73916277519849,23768,4029,37.751_-122.395,0.16951363177381354,Q3,Medium Mobility
ayquasto,10.508556709225308,21997,3902,37.751_-122.395,0.17738782561258354,Q2,Low Mobility (Routine)
ayquexar,10.794543109555256,25963,4321,37.752_-122.394,0.1664291491738243,Q3,Medium Mobility
ayshekki,10.795120899746248,21343,4062,37.666_-122.429,0.19032001124490466,Q3,Medium Mobility
ayshowg,6.547906996699734,7785,2100,37.751_-122.394,0.2697495183044316,Q1 (Low),Low Mobility (Routine)
aysmsla,10.709655796572815,26437,4410,37.752_-122.395,0.16681166546885048,Q3,Medium Mobility
eacderph,10.506416778176337,22923,3997,37.616_-122.386,0.17436635693408367,Q2,Low Mobility (Routine)
eadectio,10.467088125585356,20192,3970,37.616_-122.386,0.19661251980982566,Q2,Low Mobility (Routine)
eagbaci,9.924038995918874,14040,3079,37.708_-122.434,0.2193019943019943,Q1 (Low),Low Mobility (Routine)
eapceou,11.28943953344641,27539,4982,37.782_-122.450,0.18090707723591998,Q4 (High),High Mobility (Explorer)
easnsvu,10.566702830706042,17729,4102,37.616_-122.386,0.2313723278244684,Q2,Medium Mobility
eavcaifo,10.547966828499419,23558,3888,37.752_-122.394,0.16503947703540198,Q2,Medium Mobility
eavflid,11.030535501519996,24685,4298,37.792_-122.411,0.17411383431233543,Q4 (High),High Mobility (Explorer)
ebcicy,10.400020110830399,24987,4086,37.752_-122.394,0.16352503301716892,Q1 (Low),Low Mobility (Routine)
ebdafya,10.82421636703166,25879,4061,37.782_-122.412,0.15692260133699137,Q3,High Mobility (Explorer)
ebenfrag,10.669223425883644,20232,4302,37.616_-122.386,0.21263345195729538,Q2,Medium Mobility
ebrulra,10.925976668748543,16046,3619,37.751_-122.395,0.2255390751589181,Q4 (High),High Mobility (Explorer)
ebstic,10.455085699273006,11616,2743,37.616_-122.386,0.23613980716253444,Q2,Low Mobility (Routine)
eccest,10.47729649728451,26259,4303,37.751_-122.395,0.16386762633763663,Q2,Low Mobility (Routine)
ecdiwovu,10.76751203109845,24336,4260,37.616_-122.386,0.17504930966469429,Q3,Medium Mobility
ecfesy,10.942588330668473,25722,4395,37.752_-122.395,0.1708654070445533,Q4 (High),High Mobility (Explorer)
ecforj,11.28061930786366,22110,4692,37.751_-122.395,0.21221166892808685,Q4 (High),High Mobility (Explorer)
ecgojtyt,10.882118967108806,23861,4307,37.751_-122.395,0.18050375089057458,Q4 (High),High Mobility (Explorer)
ecjeody,10.723152829800167,22899,4092,37.751_-122.395,0.17869775972749902,Q3,Medium Mobility
eckecky,10.0613180552483,16385,3191,37.751_-122.394,0.19475129691791274,Q1 (Low),Low Mobility (Routine)
ecnoplsi,10.635724203013996,23494,3828,37.751_-122.395,0.16293521750234102,Q2,Medium Mobility
eddreba,10.586573822009253,20664,3720,37.686_-122.473,0.1800232288037166,Q2,Medium Mobility
edeejdru,10.319544261326584,26212,3965,37.786_-122.397,0.15126659545246451,Q1 (Low),Low Mobility (Routine)
edglevi,10.965511292434714,23911,4306,37.792_-122.411,0.18008447994646815,Q4 (High),High Mobility (Explorer)
